,ExpDate,Strike Price,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Current Date,Implied volatility,Underlaying asset price,Expiration time
0,17-Mar-17,22.5,ARR,Put,0.95,-0.35,0.65,1.25,1,9,-0.69794,0.28368,-0.00832,-0.00832,0.02372,2/17/2017,0.2759,21.709999,0.076659822
1,21-Apr-17,22,ARR,Call,0.3,-0.2,0.1,0.4,40,659,0.45441,0.55431,0.01692,-0.00408,0.0373,2/17/2017,0.10719,21.709999,0.1724846
2,21-Apr-17,20,ARR,Put,0.15,-0.05,0.05,0.2,3,251,-0.12236,0.11984,-0.0043,-0.00275,0.01999,2/17/2017,0.25595,21.709999,0.1724846
3,21-Apr-17,22,ARR,Put,0.83,-0.02,0.65,1,1,166,-0.52709,0.26444,-0.01502,-0.00457,0.03551,2/17/2017,0.21858,21.709999,0.1724846
4,21-Apr-17,23,ARR,Put,1.55,0.05,1.4,1.85,2,145,-0.68386,0.17777,-0.0176,-0.0059,0.03575,2/17/2017,0.33344,21.709999,0.1724846
5,21-Jul-17,22.5,ARR,Call,0.4,-0.07,0.3,0.45,41,452,0.40237,0.33452,0.03658,-0.00313,0.06382,2/17/2017,0.09176,21.709999,0.421629021
6,21-Jul-17,20,ARR,Put,0.55,-0.2,0.45,0.7,4,95,-0.23545,0.09862,-0.0192,-0.00313,0.04823,2/17/2017,0.28827,21.709999,0.421629021
7,21-Jul-17,22.5,ARR,Put,1.6,-0.45,1.6,2.1,6,96,-0.51918,0.11344,-0.03779,-0.00423,0.05573,2/17/2017,0.30185,21.709999,0.421629021
8,17-Mar-17,12.5,RESI,Call,1,-0.1,0.8,1.1,20,3376,0.83341,0.27623,0.00779,-0.00625,0.00879,2/17/2017,0.28936,13.31,0.076659822
9,16-Jun-17,12.5,RESI,Call,1.2,0.2,1.1,1.4,2,3801,0.73514,0.18291,0.02763,-0.00418,0.02675,2/17/2017,0.21658,13.31,0.325804244
10,17-Mar-17,10,TEF,Call,0.2,0.05,0.1,0.2,22,453,0.42641,0.86771,0.00313,-0.00429,0.01089,2/17/2017,0.17173,9.87,0.076659822
11,16-Jun-17,10,TEF,Call,0.4,0.05,0.35,0.5,10,766,0.52945,0.41509,0.01583,-0.00267,0.02205,2/17/2017,0.17708,9.87,0.325804244
12,16-Jun-17,10,TEF,Put,0.75,0.05,0.65,0.8,31,284,-0.47595,0.2541,-0.01239,-0.00274,0.02194,2/17/2017,0.31691,9.87,0.325804244
13,15-Sep-17,10,TEF,Call,0.6,0.05,0.55,0.65,242,1861,0.57018,0.32926,0.02941,-0.00214,0.02881,2/17/2017,0.15845,9.87,0.574948665
14,17-Mar-17,175,MSG,Call,2.84,-1.28,2.85,3.6,9,31,0.55521,0.05817,0.07243,-0.0754,0.18696,2/17/2017,0.16835,175.300003,0.076659822
15,17-Mar-17,180,MSG,Call,1.2,-1.5,1.05,1.6,12,347,0.3181,0.04425,0.04171,-0.07088,0.19852,2/17/2017,0.16687,175.300003,0.076659822
16,17-Mar-17,160,MSG,Put,0.23,0.03,0.15,0.35,20,616,-0.07222,0.01205,-0.00948,-0.03281,0.05772,2/17/2017,0.24997,175.300003,0.076659822
17,17-Mar-17,165,MSG,Put,0.55,0.1,0.35,0.65,42,784,-0.135,0.02151,-0.01696,-0.04137,0.11406,2/17/2017,0.2183,175.300003,0.076659822
18,17-Mar-17,170,MSG,Put,1.53,0.59,1.1,1.55,12,35,-0.24568,0.03761,-0.0279,-0.05317,0.17754,2/17/2017,0.16965,175.300003,0.076659822
19,17-Mar-17,180,MSG,Put,6.45,-0.25,5.5,6.6,2,1,-0.6687,0.04077,-0.06585,-0.05941,0.1905,2/17/2017,0.1838,175.300003,0.076659822
20,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.56585,0.21514,0.01575,-0.00462,0.02184,2/17/2017,0.34132,10,0.325804244
21,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.56585,0.21514,0.01575,-0.00462,0.02184,2/17/2017,0.34132,10,0.325804244
22,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.56585,0.21514,0.01575,-0.00462,0.02184,2/17/2017,0.34132,10,0.325804244
23,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.57054,0.24737,0.01625,-0.00415,0.02185,2/17/2017,0.34132,10,0.325804244
24,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.57054,0.24737,0.01625,-0.00415,0.02185,2/17/2017,0.34132,10,0.325804244
25,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.57054,0.24737,0.01625,-0.00415,0.02185,2/17/2017,0.34132,10,0.325804244
26,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.57048,0.24218,0.0162,-0.00422,0.02185,2/17/2017,0.34132,10,0.325804244
27,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.57048,0.24218,0.0162,-0.00422,0.02185,2/17/2017,0.34132,10,0.325804244
28,16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.57048,0.24218,0.0162,-0.00422,0.02185,2/17/2017,0.34132,10,0.325804244
29,24-Feb-17,7.5,VNET,Call,0.15,-0.05,0.05,0.2,2,19,0.40775,0.90705,0.00055,-0.01417,0.00402,2/17/2017,0.56186,7.39,0.019164956
30,24-Feb-17,7.5,VNET,Call,0.15,-0.05,0.05,0.2,2,19,0.40775,0.90705,0.00055,-0.01417,0.00402,2/17/2017,0.56186,7.39,0.019164956
31,24-Feb-17,7.5,VNET,Call,0.15,-0.05,0.05,0.2,2,19,0.41788,0.98373,0.00057,-0.01332,0.00403,2/17/2017,0.56186,7.39,0.019164956
32,24-Feb-17,7.5,VNET,Call,0.15,-0.05,0.05,0.2,2,19,0.41788,0.98373,0.00057,-0.01332,0.00403,2/17/2017,0.56186,7.39,0.019164956
33,17-Mar-17,8,VNET,Call,0.23,-0.02,0.1,0.25,50,496,0.29012,0.37863,0.00152,-0.00731,0.00838,2/17/2017,0.56312,7.39,0.076659822
34,17-Mar-17,8,VNET,Call,0.23,-0.02,0.1,0.25,50,496,0.29012,0.37863,0.00152,-0.00731,0.00838,2/17/2017,0.56312,7.39,0.076659822
35,17-Mar-17,8,VNET,Call,0.23,-0.02,0.1,0.25,50,496,0.29863,0.3799,0.00156,-0.00738,0.00839,2/17/2017,0.56312,7.39,0.076659822
36,17-Mar-17,8,VNET,Call,0.23,-0.02,0.1,0.25,50,496,0.29863,0.3799,0.00156,-0.00738,0.00839,2/17/2017,0.56312,7.39,0.076659822
37,17-Mar-17,35,TWOU,Put,1.5,-0.2,1.3,1.55,50,46,-0.37773,0.08127,-0.01014,-0.03542,0.03786,2/17/2017,0.59204,35.93,0.076659822
38,17-Mar-17,35,TWOU,Put,1.5,-0.2,1.3,1.55,50,46,-0.37773,0.08127,-0.01014,-0.03542,0.03786,2/17/2017,0.59204,35.93,0.076659822
39,17-Mar-17,35,TWOU,Put,1.5,-0.2,1.3,1.55,50,46,-0.53523,0.12403,-0.01167,-0.02498,0.03746,2/17/2017,0.59204,35.93,0.076659822
40,17-Mar-17,35,TWOU,Put,1.5,-0.2,1.3,1.55,50,46,-0.53523,0.12403,-0.01167,-0.02498,0.03746,2/17/2017,0.59204,35.93,0.076659822
41,21-Apr-17,35,TWOU,Call,2.7,-0.3,2.8,3.2,200,1178,0.6292,0.07229,0.03423,-0.02153,0.05626,2/17/2017,0.39441,35.93,0.1724846
42,21-Apr-17,35,TWOU,Call,2.7,-0.3,2.8,3.2,200,1178,0.6292,0.07229,0.03423,-0.02153,0.05626,2/17/2017,0.39441,35.93,0.1724846
43,21-Apr-17,35,TWOU,Call,2.7,-0.3,2.8,3.2,200,1178,0.53128,0.05488,0.02658,-0.03072,0.05561,2/17/2017,0.39441,35.93,0.1724846
44,21-Apr-17,35,TWOU,Call,2.7,-0.3,2.8,3.2,200,1178,0.53128,0.05488,0.02658,-0.03072,0.05561,2/17/2017,0.39441,35.93,0.1724846
45,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.75087,0.15047,0.04883,-0.00316,0.03436,2/17/2017,0.24548,13.4,0.574948665
46,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.75087,0.15047,0.04883,-0.00316,0.03436,2/17/2017,0.24548,13.4,0.574948665
47,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.72724,0.13717,0.04636,-0.00346,0.03504,2/17/2017,0.24548,13.4,0.574948665
48,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.72724,0.13717,0.04636,-0.00346,0.03504,2/17/2017,0.24548,13.4,0.574948665
49,19-May-17,15,EGHT,Call,0.88,-0.22,1,1.3,10,580,0.55812,0.16578,0.01822,-0.00775,0.02876,2/17/2017,0.46332,15,0.249144422
50,19-May-17,15,EGHT,Call,0.88,-0.22,1,1.3,10,580,0.55812,0.16578,0.01822,-0.00775,0.02876,2/17/2017,0.46332,15,0.249144422
51,19-May-17,15,EGHT,Call,0.88,-0.22,1,1.3,10,580,0.46494,0.11982,0.01366,-0.00924,0.02816,2/17/2017,0.46332,15,0.249144422
52,19-May-17,15,EGHT,Call,0.88,-0.22,1,1.3,10,580,0.46494,0.11982,0.01366,-0.00924,0.02816,2/17/2017,0.46332,15,0.249144422
53,19-May-17,15,EGHT,Put,1.35,0.05,1,1.3,1,39,-0.45115,0.14964,-0.01423,-0.00659,0.0288,2/17/2017,0.31626,15,0.249144422
54,19-May-17,15,EGHT,Put,1.35,0.05,1,1.3,1,39,-0.45115,0.14964,-0.01423,-0.00659,0.0288,2/17/2017,0.31626,15,0.249144422
55,19-May-17,15,EGHT,Put,1.35,0.05,1,1.3,1,39,-0.61736,0.19023,-0.01704,-0.00414,0.02821,2/17/2017,0.31626,15,0.249144422
56,19-May-17,15,EGHT,Put,1.35,0.05,1,1.3,1,39,-0.61736,0.19023,-0.01704,-0.00414,0.02821,2/17/2017,0.31626,15,0.249144422
57,17-Mar-17,50,ABAX,Call,1.3,-1,0.95,1.7,16,114,0.49715,0.13305,0.01808,-0.02975,0.05377,2/17/2017,0.28472,49.66,0.076659822
58,17-Mar-17,50,ABAX,Call,1.3,-1,0.95,1.7,16,114,0.49715,0.13305,0.01808,-0.02975,0.05377,2/17/2017,0.28472,49.66,0.076659822
59,17-Mar-17,50,ABAX,Call,1.3,-1,0.95,1.7,16,114,0.73173,0.1689,0.02751,-0.01913,0.05163,2/17/2017,0.28472,49.66,0.076659822
60,17-Mar-17,50,ABAX,Call,1.3,-1,0.95,1.7,16,114,0.73173,0.1689,0.02751,-0.01913,0.05163,2/17/2017,0.28472,49.66,0.076659822
61,17-Mar-17,105,ABMD,Call,10.8,1.1,10.8,12.9,1,18,1,0,0.0801,-0.01602,0,2/17/2017,0.1325,116.57,0.076659822
62,17-Mar-17,105,ABMD,Call,10.8,1.1,10.8,12.9,1,18,1,0,0.0801,-0.01602,0,2/17/2017,0.1325,116.57,0.076659822
